PK - Section,PK - Table,PK - ColName,To,FK - Section,FK - Table,FK - ColName
,item,i_item_sk,,,web_returns,wr_item_sk
,reason,r_reason_sk,,,web_returns,wr_reason_sk
,customer_address,ca_address_sk,,,web_returns,wr_refunded_addr_sk
,customer,c_customer_sk,,,web_returns,wr_refunded_customer_sk
,customer_demographics,cd_demo_sk,,,web_returns,wr_refunded_cdemo_sk
,household_demographics,hd_demo_sk,,,web_returns,wr_refunded_hdemo_sk
,customer_address,ca_address_sk,,,web_returns,wr_returning_addr_sk
,customer,c_customer_sk,,,web_returns,wr_returning_customer_sk
,customer_demographics,cd_demo_sk,,,web_returns,wr_returning_cdemo_sk
,date_dim,d_date_sk,,,web_returns,wr_returned_date_sk
,household_demographics,hd_demo_sk,,,web_returns,wr_returning_hdemo_sk
,time_dim,t_time_sk,,,web_returns,wr_returned_time_sk
,web_page,wp_web_page_sk,,,web_returns,wr_web_page_sk
,customer_address,ca_address_sk,,,web_sales,ws_bill_addr_sk
,customer,c_customer_sk,,,web_sales,ws_bill_customer_sk
,customer_demographics,cd_demo_sk,,,web_sales,ws_bill_cdemo_sk
,household_demographics,hd_demo_sk,,,web_sales,ws_bill_hdemo_sk
,date_dim,d_date_sk,,,web_sales,ws_sold_date_sk
,item,i_item_sk,,,web_sales,ws_item_sk
,promotion,p_promo_sk,,,web_sales,ws_promo_sk
,customer_address,ca_address_sk,,,web_sales,ws_ship_addr_sk
,customer,c_customer_sk,,,web_sales,ws_ship_customer_sk
,customer_demographics,cd_demo_sk,,,web_sales,ws_ship_cdemo_sk
,date_dim,d_date_sk,,,web_sales,ws_ship_date_sk
,household_demographics,hd_demo_sk,,,web_sales,ws_ship_hdemo_sk
,ship_mode,sm_ship_mode_sk,,,web_sales,ws_ship_mode_sk
,time_dim,t_time_sk,,,web_sales,ws_sold_time_sk
,warehouse,w_warehouse_sk,,,web_sales,ws_warehouse_sk
,web_page,wp_web_page_sk,,,web_sales,ws_web_page_sk
,web_site,web_site_sk,,,web_sales,ws_web_site_sk
,date_dim,d_date_sk,,,web_site,web_close_date_sk
,date_dim,d_date_sk,,,web_site,web_open_date_sk
