account_id,district_id,frequency,parseddate,year,month,day,date,event_timestamp
A00001637,1,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08,2022-07-23 01:00:26.988334
A00003871,26,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08,2022-07-19 17:29:22.988334
A00000192,55,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08,2022-07-21 13:29:26.988334
A00000764,1,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08,2022-07-15 08:37:30.988334
A00002087,7,Weekly Issuance,2013-01-08,2013,1,8,2013-01-08,2022-07-24 12:24:38.988334
A00002122,68,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08,2022-07-22 12:41:16.988334
A00003592,54,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08,2022-07-23 05:05:56.988334
A00003487,41,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08,2022-07-25 02:36:16.988334
A00000435,38,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08,2022-07-23 13:24:30.988334
A00001730,1,Monthly Issuance,2013-01-09,2013,1,9,2013-01-09,2022-07-18 03:53:14.988334
A00001493,41,Monthly Issuance,2013-01-09,2013,1,9,2013-01-09,2022-07-15 12:52:34.988334
A00000374,38,Monthly Issuance,2013-01-09,2013,1,9,2013-01-09,2022-07-19 22:18:36.988334
A00002925,1,Monthly Issuance,2013-01-10,2013,1,10,2013-01-10,2022-07-24 03:25:33.988334
A00000866,9,Monthly Issuance,2013-01-10,2013,1,10,2013-01-10,2022-07-20 13:28:13.988334
A00001628,60,Monthly Issuance,2013-01-10,2013,1,10,2013-01-10,2022-07-21 06:09:53.988334
A00002379,44,Monthly Issuance,2013-01-10,2013,1,10,2013-01-10,2022-07-25 10:45:04.988334
A00001979,26,Monthly Issuance,2013-01-11,2013,1,11,2013-01-11,2022-07-15 04:57:01.988334
A00000346,37,Monthly Issuance,2013-01-11,2013,1,11,2013-01-11,2022-07-23 03:42:56.988334
A00001338,74,Monthly Issuance,2013-01-11,2013,1,11,2013-01-11,2022-07-18 04:08:04.988334
A00001909,14,Monthly Issuance,2013-01-12,2013,1,12,2013-01-12,2022-07-19 12:37:43.988334
A00002099,3,Weekly Issuance,2013-01-12,2013,1,12,2013-01-12,2022-07-20 00:37:40.988334
A00003760,44,Monthly Issuance,2013-01-13,2013,1,13,2013-01-13,2022-07-19 15:44:02.988334
A00005270,44,Monthly Issuance,2013-01-13,2013,1,13,2013-01-13,2022-07-18 22:58:07.988334
A00001699,53,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14,2022-07-20 10:46:11.988334
A00003909,1,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14,2022-07-19 21:08:22.988334
A00002926,50,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14,2022-07-24 12:03:20.988334
A00001731,33,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14,2022-07-18 07:35:30.988334
A00011265,15,Monthly Issuance,2013-01-14,2013,1,14,2013-01-14,2022-07-21 10:52:58.988334
A00002519,4,Monthly Issuance,2013-01-15,2013,1,15,2013-01-15,2022-07-19 10:02:36.988334
A00010364,55,Monthly Issuance,2013-01-17,2013,1,17,2013-01-17,2022-07-18 10:22:25.988334
A00001481,15,Monthly Issuance,2013-01-17,2013,1,17,2013-01-17,2022-07-17 21:43:10.988334
A00000401,32,Monthly Issuance,2013-01-18,2013,1,18,2013-01-18,2022-07-25 12:00:32.988334
A00004034,1,Monthly Issuance,2013-01-18,2013,1,18,2013-01-18,2022-07-24 17:05:43.988334
A00002330,54,Monthly Issuance,2013-01-19,2013,1,19,2013-01-19,2022-07-19 03:09:25.988334
A00001806,40,Monthly Issuance,2013-01-19,2013,1,19,2013-01-19,2022-07-23 00:51:27.988334
A00003834,54,Monthly Issuance,2013-01-19,2013,1,19,2013-01-19,2022-07-19 00:20:42.988334
A00001222,66,Monthly Issuance,2013-01-20,2013,1,20,2013-01-20,2022-07-21 23:29:27.988334
A00000212,27,Weekly Issuance,2013-01-20,2013,1,20,2013-01-20,2022-07-17 20:12:21.988334
A00000456,49,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21,2022-07-25 23:34:43.988334
A00000459,47,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21,2022-07-25 02:47:47.988334
A00000772,45,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21,2022-07-24 23:28:59.988334
A00001019,52,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21,2022-07-15 10:06:52.988334
A00011295,74,Monthly Issuance,2013-01-21,2013,1,21,2013-01-21,2022-07-15 20:26:46.988334
A00002970,60,Monthly Issuance,2013-01-22,2013,1,22,2013-01-22,2022-07-18 13:46:27.988334
A00002676,73,Monthly Issuance,2013-01-22,2013,1,22,2013-01-22,2022-07-15 14:31:40.988334
A00001536,41,Weekly Issuance,2013-01-22,2013,1,22,2013-01-22,2022-07-20 02:37:42.988334
A00001179,74,Monthly Issuance,2013-01-23,2013,1,23,2013-01-23,2022-07-19 02:29:07.988334
A00000280,25,Monthly Issuance,2013-01-23,2013,1,23,2013-01-23,2022-07-18 17:04:15.988334
A00002425,41,Monthly Issuance,2013-01-23,2013,1,23,2013-01-23,2022-07-23 14:25:06.988334
A00009307,68,Monthly Issuance,2013-01-24,2013,1,24,2013-01-24,2022-07-18 14:42:53.988334
A00004055,23,Monthly Issuance,2013-01-24,2013,1,24,2013-01-24,2022-07-25 01:19:18.988334
A00005065,66,Monthly Issuance,2013-01-24,2013,1,24,2013-01-24,2022-07-17 05:04:53.988334
A00003704,75,Monthly Issuance,2013-01-24,2013,1,24,2013-01-24,2022-07-19 10:32:29.988334
A00000477,1,Monthly Issuance,2013-01-25,2013,1,25,2013-01-25,2022-07-23 20:07:39.988334
A00005891,54,Monthly Issuance,2013-01-25,2013,1,25,2013-01-25,2022-07-16 04:04:59.988334
A00001000,77,Monthly Issuance,2013-01-25,2013,1,25,2013-01-25,2022-07-17 10:41:36.988334
A00001750,1,Monthly Issuance,2013-01-26,2013,1,26,2013-01-26,2022-07-24 01:34:59.988334
A00002023,68,Monthly Issuance,2013-01-26,2013,1,26,2013-01-26,2022-07-16 21:46:45.988334
A00006473,12,Monthly Issuance,2013-01-26,2013,1,26,2013-01-26,2022-07-19 05:44:29.988334
A00001649,46,Monthly Issuance,2013-01-26,2013,1,26,2013-01-26,2022-07-19 07:09:47.988334
A00002670,13,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27,2022-07-19 05:39:11.988334
A00001127,27,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27,2022-07-15 15:41:17.988334
A00000163,30,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27,2022-07-22 21:45:18.988334
A00002566,48,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27,2022-07-25 14:20:49.988334
A00000009,70,Monthly Issuance,2013-01-27,2013,1,27,2013-01-27,2022-07-17 05:36:51.988334
A00001144,59,Monthly Issuance,2013-01-28,2013,1,28,2013-01-28,2022-07-18 22:18:34.988334
A00002902,32,Monthly Issuance,2013-01-28,2013,1,28,2013-01-28,2022-07-23 20:42:49.988334
A00004296,63,Monthly Issuance,2013-01-28,2013,1,28,2013-01-28,2022-07-17 15:31:43.988334
A00000443,64,Monthly Issuance,2013-01-28,2013,1,28,2013-01-28,2022-07-25 18:14:29.988334
A00003693,61,Monthly Issuance,2013-01-29,2013,1,29,2013-01-29,2022-07-24 09:55:10.988334
A00002070,72,Monthly Issuance,2013-01-29,2013,1,29,2013-01-29,2022-07-16 08:57:10.988334
A00001843,12,Monthly Issuance,2013-01-30,2013,1,30,2013-01-30,2022-07-17 17:00:39.988334
A00002714,1,Monthly Issuance,2013-01-30,2013,1,30,2013-01-30,2022-07-24 09:55:30.988334
A00004078,40,Monthly Issuance,2013-01-30,2013,1,30,2013-01-30,2022-07-25 23:13:04.988334
A00001675,36,Monthly Issuance,2013-02-01,2013,2,1,2013-02-01,2022-07-16 18:21:40.988334
A00005868,44,Monthly Issuance,2013-02-02,2013,2,2,2013-02-02,2022-07-21 02:18:15.988334
A00001805,1,Monthly Issuance,2013-02-02,2013,2,2,2013-02-02,2022-07-15 21:50:02.988334
A00002434,17,Monthly Issuance,2013-02-02,2013,2,2,2013-02-02,2022-07-23 03:42:31.988334
A00003007,16,Monthly Issuance,2013-02-02,2013,2,2,2013-02-02,2022-07-17 07:52:07.988334
A00002574,68,Monthly Issuance,2013-02-02,2013,2,2,2013-02-02,2022-07-22 16:09:18.988334
A00000862,64,Weekly Issuance,2013-02-02,2013,2,2,2013-02-02,2022-07-24 00:10:41.988334
A00001132,1,Weekly Issuance,2013-02-03,2013,2,3,2013-02-03,2022-07-25 11:15:53.988334
A00004484,54,Monthly Issuance,2013-02-03,2013,2,3,2013-02-03,2022-07-17 12:11:12.988334
A00000943,1,Monthly Issuance,2013-02-03,2013,2,3,2013-02-03,2022-07-24 00:26:01.988334
A00003514,7,Monthly Issuance,2013-02-03,2013,2,3,2013-02-03,2022-07-18 00:22:44.988334
A00003983,67,Monthly Issuance,2013-02-04,2013,2,4,2013-02-04,2022-07-15 07:02:28.988334
A00009265,1,Monthly Issuance,2013-02-04,2013,2,4,2013-02-04,2022-07-24 18:12:16.988334
A00000465,32,Monthly Issuance,2013-02-04,2013,2,4,2013-02-04,2022-07-24 02:09:59.988334
A00000982,54,Monthly Issuance,2013-02-05,2013,2,5,2013-02-05,2022-07-17 00:50:55.988334
A00000411,70,Monthly Issuance,2013-02-05,2013,2,5,2013-02-05,2022-07-24 19:42:08.988334
A00000890,14,Monthly Issuance,2013-02-05,2013,2,5,2013-02-05,2022-07-15 10:39:50.988334
A00000627,63,Monthly Issuance,2013-02-05,2013,2,5,2013-02-05,2022-07-16 11:38:23.988334
A00002429,61,Monthly Issuance,2013-02-06,2013,2,6,2013-02-06,2022-07-15 11:43:53.988334
A00003960,64,Monthly Issuance,2013-02-06,2013,2,6,2013-02-06,2022-07-25 13:45:43.988334
A00002256,48,Monthly Issuance,2013-02-06,2013,2,6,2013-02-06,2022-07-22 23:04:32.988334
A00008051,1,Weekly Issuance,2013-02-07,2013,2,7,2013-02-07,2022-07-25 16:51:48.988334
A00002647,73,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08,2022-07-20 01:17:19.988334
A00002241,6,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08,2022-07-15 23:15:28.988334
A00005622,70,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08,2022-07-19 01:02:35.988334
A00002884,1,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08,2022-07-18 16:29:00.988334
A00001830,10,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08,2022-07-22 23:22:37.988334
A00007753,74,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08,2022-07-20 11:56:12.988334
A00000244,24,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08,2022-07-19 12:27:53.988334
A00001477,1,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08,2022-07-19 23:43:50.988334
A00004240,50,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08,2022-07-22 13:23:38.988334
A00001006,6,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08,2022-07-25 01:35:55.988334
A00000830,74,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08,2022-07-17 17:13:02.988334
A00009188,45,Monthly Issuance,2013-02-08,2013,2,8,2013-02-08,2022-07-25 14:12:03.988334
A00001965,57,Issuance After Transaction,2013-02-08,2013,2,8,2013-02-08,2022-07-20 00:16:11.988334
A00001134,6,Monthly Issuance,2013-02-09,2013,2,9,2013-02-09,2022-07-22 12:04:18.988334
A00001601,10,Monthly Issuance,2013-02-09,2013,2,9,2013-02-09,2022-07-20 21:29:18.988334
A00002861,38,Monthly Issuance,2013-02-10,2013,2,10,2013-02-10,2022-07-19 06:43:26.988334
A00000813,16,Monthly Issuance,2013-02-10,2013,2,10,2013-02-10,2022-07-25 00:34:35.988334
A00002585,75,Monthly Issuance,2013-02-10,2013,2,10,2013-02-10,2022-07-21 22:03:08.988334
A00002220,16,Monthly Issuance,2013-02-10,2013,2,10,2013-02-10,2022-07-18 08:09:51.988334
A00002763,64,Monthly Issuance,2013-02-11,2013,2,11,2013-02-11,2022-07-20 00:30:02.988334
A00002342,51,Monthly Issuance,2013-02-11,2013,2,11,2013-02-11,2022-07-25 07:19:46.988334
A00001944,72,Monthly Issuance,2013-02-12,2013,2,12,2013-02-12,2022-07-19 00:06:59.988334
A00001966,27,Monthly Issuance,2013-02-12,2013,2,12,2013-02-12,2022-07-15 15:58:55.988334
A00001801,46,Monthly Issuance,2013-02-13,2013,2,13,2013-02-13,2022-07-22 18:42:15.988334
A00002543,68,Monthly Issuance,2013-02-13,2013,2,13,2013-02-13,2022-07-24 09:10:40.988334
A00002293,31,Monthly Issuance,2013-02-13,2013,2,13,2013-02-13,2022-07-19 04:40:36.988334
A00011013,1,Weekly Issuance,2013-02-14,2013,2,14,2013-02-14,2022-07-21 06:37:08.988334
A00002423,30,Monthly Issuance,2013-02-14,2013,2,14,2013-02-14,2022-07-24 13:08:27.988334
A00000142,51,Monthly Issuance,2013-02-15,2013,2,15,2013-02-15,2022-07-25 13:03:13.988334
A00003424,74,Monthly Issuance,2013-02-16,2013,2,16,2013-02-16,2022-07-17 22:33:46.988334
A00000539,13,Issuance After Transaction,2013-02-16,2013,2,16,2013-02-16,2022-07-22 16:44:02.988334
A00000979,21,Monthly Issuance,2013-02-16,2013,2,16,2013-02-16,2022-07-16 23:17:44.988334
A00003554,66,Monthly Issuance,2013-02-16,2013,2,16,2013-02-16,2022-07-20 19:08:21.988334
A00003545,51,Monthly Issuance,2013-02-17,2013,2,17,2013-02-17,2022-07-16 10:42:02.988334
A00003047,16,Monthly Issuance,2013-02-17,2013,2,17,2013-02-17,2022-07-25 03:23:57.988334
A00003374,21,Monthly Issuance,2013-02-17,2013,2,17,2013-02-17,2022-07-15 21:19:25.988334
A00000096,68,Monthly Issuance,2013-02-18,2013,2,18,2013-02-18,2022-07-20 00:35:06.988334
A00000461,30,Monthly Issuance,2013-02-18,2013,2,18,2013-02-18,2022-07-23 18:15:32.988334
A00003593,1,Monthly Issuance,2013-02-18,2013,2,18,2013-02-18,2022-07-19 16:58:34.988334
A00003026,24,Monthly Issuance,2013-02-18,2013,2,18,2013-02-18,2022-07-25 02:02:38.988334
A00001054,10,Monthly Issuance,2013-02-19,2013,2,19,2013-02-19,2022-07-15 06:01:00.988334
A00002433,71,Monthly Issuance,2013-02-19,2013,2,19,2013-02-19,2022-07-19 15:08:09.988334
A00003691,50,Monthly Issuance,2013-02-19,2013,2,19,2013-02-19,2022-07-19 07:03:59.988334
A00003787,70,Monthly Issuance,2013-02-19,2013,2,19,2013-02-19,2022-07-21 20:13:30.988334
A00000128,2,Monthly Issuance,2013-02-19,2013,2,19,2013-02-19,2022-07-15 05:03:36.988334
A00003168,39,Monthly Issuance,2013-02-20,2013,2,20,2013-02-20,2022-07-18 15:28:16.988334
A00004937,12,Monthly Issuance,2013-02-20,2013,2,20,2013-02-20,2022-07-24 20:32:41.988334
A00002124,69,Monthly Issuance,2013-02-20,2013,2,20,2013-02-20,2022-07-17 13:33:36.988334
A00000322,1,Monthly Issuance,2013-02-20,2013,2,20,2013-02-20,2022-07-21 18:38:00.988334
A00004355,31,Monthly Issuance,2013-02-21,2013,2,21,2013-02-21,2022-07-15 16:06:26.988334
A00001678,1,Monthly Issuance,2013-02-22,2013,2,22,2013-02-22,2022-07-21 18:53:56.988334
A00002396,2,Monthly Issuance,2013-02-22,2013,2,22,2013-02-22,2022-07-22 16:52:23.988334
A00001005,54,Weekly Issuance,2013-02-23,2013,2,23,2013-02-23,2022-07-21 18:12:35.988334
A00000697,28,Monthly Issuance,2013-02-23,2013,2,23,2013-02-23,2022-07-17 06:47:23.988334
A00000925,59,Monthly Issuance,2013-02-23,2013,2,23,2013-02-23,2022-07-20 00:56:24.988334
A00002110,64,Monthly Issuance,2013-02-23,2013,2,23,2013-02-23,2022-07-21 15:01:12.988334
A00001366,60,Monthly Issuance,2013-02-24,2013,2,24,2013-02-24,2022-07-25 20:52:34.988334
A00001050,57,Issuance After Transaction,2013-02-24,2013,2,24,2013-02-24,2022-07-17 18:27:23.988334
A00003117,33,Monthly Issuance,2013-02-24,2013,2,24,2013-02-24,2022-07-24 09:48:56.988334
A00000562,50,Monthly Issuance,2013-02-25,2013,2,25,2013-02-25,2022-07-22 04:05:36.988334
A00005369,54,Monthly Issuance,2013-02-25,2013,2,25,2013-02-25,2022-07-17 23:13:26.988334
A00002242,7,Weekly Issuance,2013-02-25,2013,2,25,2013-02-25,2022-07-23 04:18:16.988334
A00000197,1,Monthly Issuance,2013-02-25,2013,2,25,2013-02-25,2022-07-23 06:29:25.988334
A00000496,69,Monthly Issuance,2013-02-26,2013,2,26,2013-02-26,2022-07-21 11:05:36.988334
A00000002,1,Monthly Issuance,2013-02-26,2013,2,26,2013-02-26,2022-07-25 01:05:44.988334
A00007401,1,Monthly Issuance,2013-02-26,2013,2,26,2013-02-26,2022-07-16 15:19:46.988334
A00002486,1,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27,2022-07-21 14:16:48.988334
A00000428,1,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27,2022-07-23 19:45:15.988334
A00003651,23,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27,2022-07-20 19:41:39.988334
A00001775,17,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27,2022-07-19 14:42:14.988334
A00001688,70,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27,2022-07-18 01:17:53.988334
A00000361,51,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27,2022-07-16 11:34:18.988334
A00001829,43,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27,2022-07-17 02:07:42.988334
A00001575,1,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27,2022-07-15 18:34:01.988334
A00009203,70,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27,2022-07-19 18:39:53.988334
A00003008,72,Monthly Issuance,2013-02-27,2013,2,27,2013-02-27,2022-07-15 12:47:02.988334
A00000239,69,Weekly Issuance,2013-03-01,2013,3,1,2013-03-01,2022-07-20 09:41:53.988334
A00003302,21,Monthly Issuance,2013-03-02,2013,3,2,2013-03-02,2022-07-21 23:50:24.988334
A00000415,25,Monthly Issuance,2013-03-03,2013,3,3,2013-03-03,2022-07-18 10:10:30.988334
A00003513,20,Monthly Issuance,2013-03-03,2013,3,3,2013-03-03,2022-07-21 23:05:13.988334
A00004134,7,Monthly Issuance,2013-03-03,2013,3,3,2013-03-03,2022-07-21 04:22:37.988334
A00001077,14,Monthly Issuance,2013-03-03,2013,3,3,2013-03-03,2022-07-20 01:56:00.988334
A00001713,43,Monthly Issuance,2013-03-03,2013,3,3,2013-03-03,2022-07-17 08:35:25.988334
A00001378,59,Monthly Issuance,2013-03-04,2013,3,4,2013-03-04,2022-07-21 22:08:43.988334
A00002503,1,Monthly Issuance,2013-03-05,2013,3,5,2013-03-05,2022-07-16 17:09:29.988334
A00000559,46,Monthly Issuance,2013-03-05,2013,3,5,2013-03-05,2022-07-17 23:43:29.988334
A00006555,38,Weekly Issuance,2013-03-05,2013,3,5,2013-03-05,2022-07-17 04:05:04.988334
A00000744,42,Monthly Issuance,2013-03-06,2013,3,6,2013-03-06,2022-07-16 09:12:29.988334
A00000882,9,Monthly Issuance,2013-03-06,2013,3,6,2013-03-06,2022-07-21 12:04:04.988334
A00000086,54,Monthly Issuance,2013-03-07,2013,3,7,2013-03-07,2022-07-19 08:30:06.988334
A00001126,56,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08,2022-07-16 01:34:26.988334
A00002666,49,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08,2022-07-23 23:47:57.988334
A00000944,70,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08,2022-07-25 05:19:57.988334
A00001545,1,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08,2022-07-19 10:01:49.988334
A00002453,1,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08,2022-07-19 15:21:14.988334
A00003734,43,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08,2022-07-25 19:42:38.988334
A00003935,23,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08,2022-07-15 09:05:48.988334
A00000396,21,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08,2022-07-18 01:09:44.988334
A00002694,7,Monthly Issuance,2013-03-08,2013,3,8,2013-03-08,2022-07-25 23:09:38.988334
A00004596,74,Monthly Issuance,2013-03-09,2013,3,9,2013-03-09,2022-07-20 07:07:34.988334
A00002489,72,Monthly Issuance,2013-03-09,2013,3,9,2013-03-09,2022-07-21 04:51:56.988334
A00002895,19,Monthly Issuance,2013-03-09,2013,3,9,2013-03-09,2022-07-15 10:21:48.988334
A00000317,76,Monthly Issuance,2013-03-10,2013,3,10,2013-03-10,2022-07-17 02:29:57.988334
A00002555,53,Monthly Issuance,2013-03-10,2013,3,10,2013-03-10,2022-07-23 22:46:23.988334
A00000494,60,Monthly Issuance,2013-03-11,2013,3,11,2013-03-11,2022-07-24 00:52:28.988334
A00002219,60,Monthly Issuance,2013-03-11,2013,3,11,2013-03-11,2022-07-21 19:34:15.988334
A00002581,72,Monthly Issuance,2013-03-11,2013,3,11,2013-03-11,2022-07-23 23:03:29.988334
A00000112,6,Monthly Issuance,2013-03-12,2013,3,12,2013-03-12,2022-07-23 14:30:19.988334
A00003674,38,Monthly Issuance,2013-03-12,2013,3,12,2013-03-12,2022-07-21 14:40:36.988334
A00002039,44,Monthly Issuance,2013-03-12,2013,3,12,2013-03-12,2022-07-18 12:57:44.988334
A00002712,9,Monthly Issuance,2013-03-12,2013,3,12,2013-03-12,2022-07-20 05:17:25.988334
A00000395,1,Monthly Issuance,2013-03-12,2013,3,12,2013-03-12,2022-07-21 23:21:25.988334
A00002974,9,Monthly Issuance,2013-03-13,2013,3,13,2013-03-13,2022-07-17 21:26:27.988334
A00000123,21,Monthly Issuance,2013-03-13,2013,3,13,2013-03-13,2022-07-20 23:40:08.988334
A00009640,1,Monthly Issuance,2013-03-13,2013,3,13,2013-03-13,2022-07-15 06:56:38.988334
A00003108,53,Monthly Issuance,2013-03-14,2013,3,14,2013-03-14,2022-07-24 19:44:25.988334
A00002508,34,Monthly Issuance,2013-03-14,2013,3,14,2013-03-14,2022-07-24 06:44:37.988334
A00002458,40,Weekly Issuance,2013-03-14,2013,3,14,2013-03-14,2022-07-17 13:50:20.988334
A00000588,66,Monthly Issuance,2013-03-14,2013,3,14,2013-03-14,2022-07-21 08:18:19.988334
A00007231,10,Monthly Issuance,2013-03-14,2013,3,14,2013-03-14,2022-07-25 17:11:38.988334
A00006701,49,Weekly Issuance,2013-03-15,2013,3,15,2013-03-15,2022-07-24 20:28:48.988334
A00003883,72,Monthly Issuance,2013-03-15,2013,3,15,2013-03-15,2022-07-21 09:41:13.988334
A00000222,37,Monthly Issuance,2013-03-15,2013,3,15,2013-03-15,2022-07-19 00:00:38.988334
A00002497,65,Monthly Issuance,2013-03-16,2013,3,16,2013-03-16,2022-07-24 05:14:22.988334
A00001372,1,Monthly Issuance,2013-03-16,2013,3,16,2013-03-16,2022-07-18 03:12:46.988334
A00003835,50,Monthly Issuance,2013-03-16,2013,3,16,2013-03-16,2022-07-19 14:01:06.988334
A00007445,64,Monthly Issuance,2013-03-18,2013,3,18,2013-03-18,2022-07-17 04:11:35.988334
A00002527,38,Monthly Issuance,2013-03-19,2013,3,19,2013-03-19,2022-07-24 08:20:14.988334
A00000425,9,Monthly Issuance,2013-03-19,2013,3,19,2013-03-19,2022-07-15 14:13:28.988334
A00000860,1,Monthly Issuance,2013-03-19,2013,3,19,2013-03-19,2022-07-19 08:34:41.988334
A00006034,6,Weekly Issuance,2013-03-19,2013,3,19,2013-03-19,2022-07-20 16:08:00.988334
A00011065,11,Monthly Issuance,2013-03-19,2013,3,19,2013-03-19,2022-07-25 12:53:15.988334
A00009883,1,Monthly Issuance,2013-03-19,2013,3,19,2013-03-19,2022-07-19 05:37:12.988334
A00000115,68,Monthly Issuance,2013-03-19,2013,3,19,2013-03-19,2022-07-23 03:00:02.988334
A00001189,59,Monthly Issuance,2013-03-19,2013,3,19,2013-03-19,2022-07-20 14:22:21.988334
A00003675,64,Monthly Issuance,2013-03-20,2013,3,20,2013-03-20,2022-07-21 06:24:48.988334
A00003069,66,Monthly Issuance,2013-03-20,2013,3,20,2013-03-20,2022-07-18 11:43:46.988334
A00002762,19,Monthly Issuance,2013-03-20,2013,3,20,2013-03-20,2022-07-24 03:36:00.988334
A00000892,70,Monthly Issuance,2013-03-20,2013,3,20,2013-03-20,2022-07-17 06:52:43.988334
A00001535,46,Monthly Issuance,2013-03-20,2013,3,20,2013-03-20,2022-07-18 15:42:40.988334
A00002618,60,Monthly Issuance,2013-03-21,2013,3,21,2013-03-21,2022-07-15 19:59:53.988334
A00002651,2,Monthly Issuance,2013-03-21,2013,3,21,2013-03-21,2022-07-25 11:05:17.988334
A00005442,34,Monthly Issuance,2013-03-22,2013,3,22,2013-03-22,2022-07-24 22:00:41.988334
A00001787,30,Weekly Issuance,2013-03-22,2013,3,22,2013-03-22,2022-07-20 02:13:50.988334
