disp_id,client_id,account_id,type,event_timestamp
D00000239,239,A00000197,Owner,2022-07-19 21:45:43.719715
D00000240,240,A00000198,Owner,2022-07-23 20:21:08.719715
D00000241,241,A00000199,Owner,2022-07-19 22:46:47.719715
D00000242,242,A00000200,Owner,2022-07-22 02:54:58.719715
D00000243,243,A00000201,Owner,2022-07-15 12:35:49.719715
D00000246,246,A00000204,Owner,2022-07-20 06:06:18.719715
D00000247,247,A00000205,Owner,2022-07-16 14:49:43.719715
D00000248,248,A00000206,Owner,2022-07-17 01:56:36.719715
D00000249,249,A00000206,User,2022-07-22 18:36:20.719715
D00000250,250,A00000207,Owner,2022-07-25 22:15:27.719715
D00000251,251,A00000208,Owner,2022-07-15 11:43:16.719715
D00000252,252,A00000209,Owner,2022-07-24 12:13:38.719715
D00000253,253,A00000210,Owner,2022-07-19 14:55:49.719715
D00000254,254,A00000211,Owner,2022-07-16 20:10:19.719715
D00000255,255,A00000212,Owner,2022-07-18 22:00:41.719715
D00000256,256,A00000213,Owner,2022-07-25 11:05:10.719715
D00000257,257,A00000214,Owner,2022-07-21 21:26:26.719715
D00000258,258,A00000214,User,2022-07-16 21:08:49.719715
D00000259,259,A00000215,Owner,2022-07-21 13:28:26.719715
D00000260,260,A00000215,User,2022-07-22 17:36:13.719715
D00000261,261,A00000216,Owner,2022-07-17 06:37:35.719715
D00000262,262,A00000217,Owner,2022-07-22 00:20:34.719715
D00000263,263,A00000218,Owner,2022-07-16 17:34:01.719715
D00000264,264,A00000219,Owner,2022-07-18 13:07:47.719715
D00000265,265,A00000220,Owner,2022-07-19 15:34:02.719715
D00000266,266,A00000221,Owner,2022-07-21 10:29:47.719715
D00000267,267,A00000222,Owner,2022-07-20 23:43:40.719715
D00000268,268,A00000223,Owner,2022-07-18 23:53:46.719715
D00000269,269,A00000224,Owner,2022-07-21 22:27:35.719715
D00000270,270,A00000225,Owner,2022-07-16 15:52:35.719715
D00000271,271,A00000225,User,2022-07-17 08:03:37.719715
D00000272,272,A00000226,Owner,2022-07-22 05:17:58.719715
D00000273,273,A00000227,Owner,2022-07-15 03:25:40.719715
D00000274,274,A00000228,Owner,2022-07-15 14:52:00.719715
D00000275,275,A00000229,Owner,2022-07-15 17:41:53.719715
D00000276,276,A00000230,Owner,2022-07-18 04:17:08.719715
D00000277,277,A00000230,User,2022-07-25 18:49:24.719715
D00000278,278,A00000231,Owner,2022-07-20 12:23:44.719715
D00000279,279,A00000231,User,2022-07-21 11:16:07.719715
D00000280,280,A00000232,Owner,2022-07-18 11:35:35.719715
D00000282,282,A00000234,Owner,2022-07-21 06:58:13.719715
D00000283,283,A00000234,User,2022-07-20 11:05:45.719715
D00000284,284,A00000235,Owner,2022-07-15 22:59:22.719715
D00000285,285,A00000236,Owner,2022-07-22 02:41:36.719715
D00000286,286,A00000236,User,2022-07-24 18:07:27.719715
D00000287,287,A00000237,Owner,2022-07-24 06:29:15.719715
D00000288,288,A00000238,Owner,2022-07-19 16:53:13.719715
D00000289,289,A00000239,Owner,2022-07-18 14:39:35.719715
D00000290,290,A00000240,Owner,2022-07-22 09:03:01.719715
D00000291,291,A00000240,User,2022-07-18 10:52:01.719715
D00000292,292,A00000241,Owner,2022-07-19 14:35:08.719715
D00000293,293,A00000242,Owner,2022-07-20 14:03:55.719715
D00000294,294,A00000243,Owner,2022-07-18 09:28:01.719715
D00000295,295,A00000244,Owner,2022-07-16 16:12:12.719715
D00000296,296,A00000245,Owner,2022-07-16 05:29:21.719715
D00000297,297,A00000246,Owner,2022-07-25 20:05:49.719715
D00000298,298,A00000246,User,2022-07-22 09:01:48.719715
D00000300,300,A00000248,Owner,2022-07-21 01:21:46.719715
D00000301,301,A00000249,Owner,2022-07-20 22:03:31.719715
D00000302,302,A00000250,Owner,2022-07-19 07:50:27.719715
D00000303,303,A00000251,Owner,2022-07-17 19:43:30.719715
D00000304,304,A00000252,Owner,2022-07-23 17:49:19.719715
D00000305,305,A00000253,Owner,2022-07-23 09:03:56.719715
D00000308,308,A00000255,Owner,2022-07-21 13:27:55.719715
D00000309,309,A00000256,Owner,2022-07-15 08:32:33.719715
D00000310,310,A00000257,Owner,2022-07-20 07:31:49.719715
D00000311,311,A00000258,Owner,2022-07-20 13:17:04.719715
D00000312,312,A00000259,Owner,2022-07-22 23:48:25.719715
D00000313,313,A00000260,Owner,2022-07-22 03:41:40.719715
D00000314,314,A00000260,User,2022-07-19 13:37:09.719715
D00000315,315,A00000261,Owner,2022-07-25 04:32:50.719715
D00000316,316,A00000262,Owner,2022-07-20 08:49:39.719715
D00000317,317,A00000263,Owner,2022-07-16 08:40:14.719715
D00000318,318,A00000264,Owner,2022-07-15 21:24:46.719715
D00000319,319,A00000265,Owner,2022-07-23 09:48:26.719715
D00000320,320,A00000265,User,2022-07-20 20:18:44.719715
D00000321,321,A00000266,Owner,2022-07-21 21:51:36.719715
D00000322,322,A00000267,Owner,2022-07-15 03:03:07.719715
D00000323,323,A00000267,User,2022-07-20 01:48:23.719715
D00000324,324,A00000268,Owner,2022-07-25 09:11:30.719715
D00000325,325,A00000269,Owner,2022-07-24 02:04:33.719715
D00000326,326,A00000270,Owner,2022-07-20 09:44:35.719715
D00000327,327,A00000270,User,2022-07-22 02:01:09.719715
D00000328,328,A00000271,Owner,2022-07-18 08:53:34.719715
D00000329,329,A00000272,Owner,2022-07-17 14:15:42.719715
D00000330,330,A00000273,Owner,2022-07-24 11:55:43.719715
D00000331,331,A00000274,Owner,2022-07-18 16:28:41.719715
D00000332,332,A00000275,Owner,2022-07-23 19:13:46.719715
D00000333,333,A00000276,Owner,2022-07-18 23:39:54.719715
D00000334,334,A00000277,Owner,2022-07-21 18:39:18.719715
D00000335,335,A00000278,Owner,2022-07-20 08:28:37.719715
D00000336,336,A00000279,Owner,2022-07-15 19:43:06.719715
D00000337,337,A00000279,User,2022-07-25 11:03:44.719715
D00000338,338,A00000280,Owner,2022-07-19 04:11:34.719715
D00000339,339,A00000281,Owner,2022-07-25 06:09:45.719715
D00000340,340,A00000281,User,2022-07-23 14:54:01.719715
D00000341,341,A00000282,Owner,2022-07-20 06:40:28.719715
D00000342,342,A00000282,User,2022-07-19 21:01:26.719715
D00000343,343,A00000283,Owner,2022-07-20 12:17:10.719715
D00000344,344,A00000284,Owner,2022-07-22 17:38:15.719715
D00000345,345,A00000285,Owner,2022-07-23 23:34:10.719715
D00000346,346,A00000285,User,2022-07-21 01:35:10.719715
D00000347,347,A00000286,Owner,2022-07-25 10:32:28.719715
D00000348,348,A00000286,User,2022-07-21 08:03:03.719715
D00000349,349,A00000287,Owner,2022-07-24 02:01:10.719715
D00000350,350,A00000288,Owner,2022-07-17 03:07:20.719715
D00000351,351,A00000289,Owner,2022-07-17 04:12:32.719715
D00000352,352,A00000290,Owner,2022-07-23 00:09:40.719715
D00000353,353,A00000291,Owner,2022-07-22 13:01:07.719715
D00000354,354,A00000292,Owner,2022-07-17 19:43:01.719715
D00000355,355,A00000292,User,2022-07-20 02:27:27.719715
D00000356,356,A00000293,Owner,2022-07-21 06:55:10.719715
D00000357,357,A00000293,User,2022-07-19 12:22:20.719715
D00000358,358,A00000294,Owner,2022-07-22 02:39:29.719715
D00000359,359,A00000295,Owner,2022-07-19 14:56:36.719715
D00000360,360,A00000296,Owner,2022-07-20 02:05:56.719715
D00000361,361,A00000297,Owner,2022-07-15 02:56:07.719715
D00000362,362,A00000298,Owner,2022-07-19 06:51:42.719715
D00000363,363,A00000298,User,2022-07-15 18:30:34.719715
D00000364,364,A00000299,Owner,2022-07-21 19:12:13.719715
D00000365,365,A00000300,Owner,2022-07-18 01:01:56.719715
D00000366,366,A00000300,User,2022-07-15 08:59:22.719715
D00000367,367,A00000301,Owner,2022-07-19 12:14:17.719715
D00000368,368,A00000301,User,2022-07-25 05:11:30.719715
D00000369,369,A00000302,Owner,2022-07-18 07:54:14.719715
D00000370,370,A00000303,Owner,2022-07-21 11:26:26.719715
D00000371,371,A00000304,Owner,2022-07-24 00:02:12.719715
D00000372,372,A00000305,Owner,2022-07-24 07:40:16.719715
D00000373,373,A00000306,Owner,2022-07-15 20:29:53.719715
D00000374,374,A00000307,Owner,2022-07-15 06:29:48.719715
D00000375,375,A00000308,Owner,2022-07-25 19:48:04.719715
D00000376,376,A00000309,Owner,2022-07-21 23:59:40.719715
D00000378,378,A00000311,Owner,2022-07-19 11:07:19.719715
D00000379,379,A00000311,User,2022-07-21 21:15:37.719715
D00000380,380,A00000312,Owner,2022-07-24 17:26:02.719715
D00000381,381,A00000313,Owner,2022-07-17 10:27:19.719715
D00000382,382,A00000313,User,2022-07-20 11:37:43.719715
D00000383,383,A00000314,Owner,2022-07-22 05:46:09.719715
D00000384,384,A00000314,User,2022-07-20 08:36:03.719715
D00000385,385,A00000315,Owner,2022-07-19 23:04:40.719715
D00000386,386,A00000316,Owner,2022-07-19 21:34:20.719715
D00000387,387,A00000317,Owner,2022-07-25 06:25:32.719715
D00000388,388,A00000318,Owner,2022-07-23 11:19:03.719715
D00000389,389,A00000319,Owner,2022-07-18 21:43:44.719715
D00000390,390,A00000320,Owner,2022-07-25 17:39:24.719715
D00000391,391,A00000321,Owner,2022-07-24 12:28:30.719715
D00000392,392,A00000322,Owner,2022-07-24 20:44:44.719715
D00000393,393,A00000322,User,2022-07-20 02:32:31.719715
D00000394,394,A00000323,Owner,2022-07-19 10:51:55.719715
D00000395,395,A00000323,User,2022-07-22 23:54:19.719715
D00000396,396,A00000324,Owner,2022-07-24 23:20:59.719715
D00000397,397,A00000325,Owner,2022-07-19 22:16:41.719715
D00000398,398,A00000326,Owner,2022-07-22 00:45:27.719715
D00000399,399,A00000327,Owner,2022-07-17 00:20:03.719715
D00000400,400,A00000328,Owner,2022-07-25 15:47:34.719715
D00000401,401,A00000328,User,2022-07-15 04:54:39.719715
D00000402,402,A00000329,Owner,2022-07-21 22:34:32.719715
D00000403,403,A00000330,Owner,2022-07-23 02:38:03.719715
D00000404,404,A00000330,User,2022-07-15 07:32:30.719715
D00000405,405,A00000331,Owner,2022-07-17 08:05:55.719715
D00000406,406,A00000332,Owner,2022-07-21 19:41:13.719715
D00000407,407,A00000333,Owner,2022-07-16 09:52:36.719715
D00000408,408,A00000334,Owner,2022-07-22 16:07:34.719715
D00000409,409,A00000335,Owner,2022-07-16 19:20:02.719715
D00000410,410,A00000336,Owner,2022-07-24 12:22:30.719715
D00000411,411,A00000337,Owner,2022-07-19 20:51:04.719715
D00000412,412,A00000337,User,2022-07-25 07:46:43.719715
D00000413,413,A00000338,Owner,2022-07-20 02:50:29.719715
D00000414,414,A00000339,Owner,2022-07-17 23:15:11.719715
D00000415,415,A00000339,User,2022-07-16 15:16:24.719715
D00000416,416,A00000340,Owner,2022-07-22 07:52:14.719715
D00000417,417,A00000340,User,2022-07-23 02:39:52.719715
D00000418,418,A00000341,Owner,2022-07-18 20:06:34.719715
D00000419,419,A00000342,Owner,2022-07-22 17:53:25.719715
D00000420,420,A00000343,Owner,2022-07-15 08:29:56.719715
D00000421,421,A00000344,Owner,2022-07-24 15:34:20.719715
D00000422,422,A00000345,Owner,2022-07-22 22:43:18.719715
D00000423,423,A00000346,Owner,2022-07-15 07:14:18.719715
D00000424,424,A00000347,Owner,2022-07-22 13:02:11.719715
D00000425,425,A00000348,Owner,2022-07-23 11:07:24.719715
D00000426,426,A00000349,Owner,2022-07-20 09:10:15.719715
D00000427,427,A00000349,User,2022-07-22 21:37:49.719715
D00000428,428,A00000350,Owner,2022-07-15 20:06:09.719715
D00000429,429,A00000351,Owner,2022-07-18 06:39:45.719715
D00000430,430,A00000352,Owner,2022-07-21 06:15:32.719715
D00000431,431,A00000353,Owner,2022-07-23 11:40:57.719715
D00000432,432,A00000354,Owner,2022-07-25 13:46:03.719715
D00000433,433,A00000355,Owner,2022-07-23 06:33:36.719715
D00000434,434,A00000356,Owner,2022-07-21 18:16:31.719715
D00000435,435,A00000357,Owner,2022-07-22 10:17:01.719715
D00000436,436,A00000358,Owner,2022-07-22 20:47:47.719715
D00000437,437,A00000359,Owner,2022-07-17 18:05:17.719715
D00000438,438,A00000360,Owner,2022-07-22 17:40:10.719715
D00000439,439,A00000361,Owner,2022-07-18 02:30:46.719715
D00000440,440,A00000362,Owner,2022-07-17 04:40:24.719715
D00000441,441,A00000363,Owner,2022-07-15 15:27:21.719715
D00000442,442,A00000364,Owner,2022-07-22 22:07:46.719715
D00000443,443,A00000364,User,2022-07-15 00:54:09.719715
D00000444,444,A00000365,Owner,2022-07-25 03:26:06.719715
D00000445,445,A00000366,Owner,2022-07-24 01:43:29.719715
D00000446,446,A00000366,User,2022-07-19 17:22:28.719715
D00000447,447,A00000367,Owner,2022-07-17 23:44:40.719715
D00000448,448,A00000368,Owner,2022-07-19 02:25:01.719715
D00000450,450,A00000370,Owner,2022-07-16 05:29:13.719715
D00000451,451,A00000371,Owner,2022-07-18 20:20:35.719715
D00000452,452,A00000372,Owner,2022-07-16 11:53:18.719715
D00000453,453,A00000373,Owner,2022-07-18 19:25:40.719715
D00000454,454,A00000374,Owner,2022-07-18 08:14:46.719715
D00000455,455,A00000375,Owner,2022-07-22 03:25:18.719715
D00000456,456,A00000376,Owner,2022-07-21 04:05:58.719715
D00000457,457,A00000377,Owner,2022-07-20 16:03:48.719715
D00000458,458,A00000378,Owner,2022-07-21 16:42:52.719715
D00000459,459,A00000379,Owner,2022-07-17 13:49:57.719715
D00000461,461,A00000381,Owner,2022-07-15 12:39:05.719715
D00000462,462,A00000382,Owner,2022-07-18 09:04:02.719715
